Código Imóvel;Logradouro;CEP;Bairro;Loteamento;Nº Imóvel;Lote;Quadra
11860;RUA IPANEMA;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;6;L
11861;RUA IPANEMA;13318-000;JACARE;RES. H. PINDORAMA I;235;11;J
11862;RUA IPANEMA;13318-000;JACARE;RES. H. PINDORAMA I;152;5;L
11863;RUA IPANEMA;13318-000;JACARE;RES. H. PINDORAMA I;281;10;J
11864;RUA IPANEMA;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;4;L
11865;RUA IPANEMA;13318-000;JACARE;RES. H. PINDORAMA I;281;9;J
11866;RUA IPANEMA;13318-000;JACARE;RES. H. PINDORAMA I;106;3;L
11867;RUA IPANEMA;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;8;J
11868;RUA IPANEMA;13318-000;;RES. H. PINDORAMA I;82;2;L
11869;RUA AMANARI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;7;J
11870;RUA AMANARI;13318-000;JACARE;RES. H. PINDORAMA I;638;6;J
11871;RUA IPANEMA;13318-000;JACARE;RES. H. PINDORAMA I;60;1;L
11872;RUA IRAJA;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;5;J
11873;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;13;L
11874;RUA IRAJA;13318-000;JACARE;RES. H. PINDORAMA I;268;4;J
11875;RUA IRAJA;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;3;J
11876;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;12;L
11877;RUA IRAJA;13318-000;JACARE;RES. H. PINDORAMA I;222;2;J
11878;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;473;11;L
11879;RUA IRAJA;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;1;J
11880;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;17;M
11881;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;16;M
11882;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;15;M
11883;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;14;M
11884;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;13;M
11885;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;705;12;M
11886;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;11;M
11887;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;769;10;M
11888;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;0;10;L
11890;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;9;L
11891;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;0,333333333333333;M
11892;RUA AMANARI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;7;M
11893;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;541;8;L
11894;RUA IPANEMA;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;6;M
11895;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;563;7;L
11896;RUA IPANEMA;13318-000;JACARE;RES. H. PINDORAMA I;290;5;M
11897;RUA IPANEMA;13318-000;JACARE;RES. H. PINDORAMA I;268;4;M
11898;RUA IPANEMA;13318-000;JACARE;RES. H. PINDORAMA I;246;3;M
